期号,first1,first2,first3,first4,first5,last1,last2,一等奖注数,一等奖奖金(元),二等奖注数,二等奖奖金(元),销售额(元),奖池奖金（元）,开奖日期,1~2,2~3,3~4,4~5,last1~last2
18106,4,14,17,24,31,1,4,3,16000000.0,114,171987.0,204182024,6472172226.51,2018-09-10,10,3,7,7,3
18105,1,16,19,20,31,2,7,3,10000000.0,80,272958.0,219284141,6452487726.44,2018-09-08,15,3,1,11,5
18104,1,13,14,26,28,7,11,1,10000000.0,51,405158.0,203640357,6430739174.62,2018-09-05,12,1,12,2,4
18103,14,24,26,28,35,2,3,0,0.0,43,497624.0,202609595,6391571458.42,2018-09-03,10,2,2,7,1
18102,6,7,13,22,24,10,12,2,10000000.0,99,233299.0,224197222,6342068179.76,2018-09-01,1,6,9,2,2
18101,3,14,15,23,29,4,5,12,10191131.0,273,49918.0,198499936,6308725026.92,2018-08-29,11,1,8,6,1
18100,6,20,21,26,30,6,9,5,13907038.0,58,287233.0,200023810,6342598373.69,2018-08-27,14,1,5,4,3
18099,12,13,16,20,21,1,7,6,9356006.0,47,550956.0,222690897,6343983973.51,2018-08-25,1,3,4,1,6
18098,2,15,18,25,27,5,7,6,13386222.0,82,232379.0,203730773,6340719923.61,2018-08-22,13,3,7,2,2
18097,10,12,14,18,23,1,4,3,16000000.0,33,651974.0,205831161,6344726748.78,2018-08-20,2,2,4,5,3
18096,13,14,20,28,34,6,10,4,16000000.0,105,219656.0,224999849,6319451570.86,2018-08-18,1,6,8,6,4
18095,7,14,18,29,35,5,12,12,9971523.0,258,54155.0,201899050,6304083968.85,2018-08-15,7,4,11,6,7
18094,11,16,25,30,34,8,10,0,0.0,58,400004.0,204437453,6342519469.97,2018-08-13,5,9,5,4,2
18093,3,11,16,18,33,3,11,4,16000000.0,101,214350.0,219900805,6289602123.49,2018-08-11,8,5,2,15,8
18092,5,7,14,18,19,4,10,1,10000000.0,82,221958.0,203960013,6271921898.9,2018-08-08,2,7,4,1,6
18091,6,22,26,28,31,1,7,3,16000000.0,66,320480.0,200209093,6239379715.37,2018-08-06,16,4,2,3,6
18090,6,20,24,33,34,4,11,2,16000000.0,58,356188.0,214323707,6215638458.69,2018-08-04,14,4,9,1,7
18089,26,27,28,32,34,6,10,3,10000000.0,237,69401.0,198789849,6185259533.87,2018-08-01,1,1,4,2,4
18088,8,9,21,25,33,1,8,5,15945388.0,59,335832.0,201070776,6175967288.11,2018-07-30,1,12,4,8,7
